"","year","carrier_name","arrivals","delayed","cancelled","diverted","delay_rate","timely_rate"
"1",2003,"American Airlines Inc.",434707,81756,6420,1052,18.807150563483,81.192849436517
"2",2003,"Delta Air Lines Inc.",386319,68346,3474,626,17.6915968409527,82.3084031590473
"3",2003,"ExpressJet Airlines Inc.",199362,38642,3625,614,19.3828312316289,80.6171687683711
"4",2003,"SkyWest Airlines Inc.",240401,26497,3628,266,11.0220007404295,88.9779992595705
"5",2003,"Southwest Airlines Co.",562675,73653,5250,1045,13.0897942862221,86.9102057137779
"6",2004,"American Airlines Inc.",698548,148150,12402,1644,21.2082777418302,78.7917222581698
"7",2004,"Delta Air Lines Inc.",687638,151942,10717,1197,22.0962192316306,77.9037807683694
"8",2004,"ExpressJet Airlines Inc.",367703,77652,6103,1031,21.118130665238,78.881869334762
"9",2004,"SkyWest Airlines Inc.",463448,69597,9784,798,15.0172187602493,84.9827812397507
"10",2004,"Southwest Airlines Co.",990404,185595,10103,1781,18.7393225390851,81.2606774609149
"11",2005,"American Airlines Inc.",673569,144389,9752,1717,21.4364081482372,78.5635918517628
"12",2005,"Delta Air Lines Inc.",658302,137098,17731,1282,20.826003870564,79.173996129436
"13",2005,"ExpressJet Airlines Inc.",403767,88656,9353,1137,21.9572179004228,78.0427820995772
"14",2005,"SkyWest Airlines Inc.",517454,80313,9639,817,15.5207999165143,84.4792000834857
"15",2005,"Southwest Airlines Co.",1036034,189099,8759,1638,18.2522002173674,81.7477997826326
"16",2006,"American Airlines Inc.",643597,145563,10127,1701,22.6171035601471,77.3828964398529
"17",2006,"Delta Air Lines Inc.",506086,111152,7695,1112,21.9630655659315,78.0369344340685
"18",2006,"ExpressJet Airlines Inc.",441470,106286,9716,1956,24.075475117222,75.924524882778
"19",2006,"SkyWest Airlines Inc.",548109,113760,12844,640,20.7549958128766,79.2450041871234
"20",2006,"Southwest Airlines Co.",1099321,206597,8951,1753,18.7931459510007,81.2068540489993
"21",2007,"American Airlines Inc.",633857,178129,17924,2097,28.1023953352255,71.8976046647745
"22",2007,"Delta Air Lines Inc.",475889,102404,6521,1045,21.51846333914,78.48153666086
"23",2007,"ExpressJet Airlines Inc.",434773,101558,10800,1668,23.3588562307227,76.6411437692773
"24",2007,"SkyWest Airlines Inc.",597880,130405,14186,823,21.8112330233492,78.1887669766508
"25",2007,"Southwest Airlines Co.",1168871,220441,9993,1920,18.8593095388627,81.1406904611373
"26",2008,"American Airlines Inc.",604883,163024,17440,1958,26.9513277774379,73.048672222562
"27",2008,"Delta Air Lines Inc.",451931,98840,6813,1184,21.870595289989,78.129404710011
"28",2008,"ExpressJet Airlines Inc.",374510,87883,9992,1104,23.4661290753251,76.5338709246749
"29",2008,"SkyWest Airlines Inc.",567141,105245,12431,1298,18.5571136630926,81.4428863369074
"30",2008,"Southwest Airlines Co.",1201754,219757,12389,2454,18.2863547780993,81.7136452219007
"31",2009,"American Airlines Inc.",551597,114591,9248,1861,20.7744059521716,79.2255940478284
"32",2009,"Delta Air Lines Inc.",428007,85948,4790,1027,20.0809799839722,79.9190200160278
"33",2009,"ExpressJet Airlines Inc.",310717,59558,5489,1072,19.1679245100847,80.8320754899153
"34",2009,"SkyWest Airlines Inc.",547571,88827,7779,1345,16.2220059133884,83.7779940866116
"35",2009,"Southwest Airlines Co.",1132278,181988,8594,1936,16.0727312550451,83.9272687449549
"36",2010,"American Airlines Inc.",540963,99108,9146,1957,18.3206614870148,81.6793385129852
"37",2010,"Delta Air Lines Inc.",732972,149425,14856,1621,20.386181191096,79.613818808904
"38",2010,"ExpressJet Airlines Inc.",385077,76419,8114,1072,19.845121884714,80.154878115286
"39",2010,"SkyWest Airlines Inc.",599620,111931,11932,1748,18.6669890930923,81.3330109069077
"40",2010,"Southwest Airlines Co.",1124487,217213,11597,2166,19.3166306057785,80.6833693942215
"41",2011,"American Airlines Inc.",538179,103978,13527,2024,19.3203376571735,80.6796623428265
"42",2011,"Delta Air Lines Inc.",732331,118041,10188,1433,16.1185311013736,83.8814688986264
"43",2011,"ExpressJet Airlines Inc.",413283,89303,14117,1262,21.6081958367511,78.3918041632489
"44",2011,"SkyWest Airlines Inc.",587372,107213,12688,1442,18.2529981000116,81.7470018999884
"45",2011,"Southwest Airlines Co.",1155717,201394,12147,2272,17.4258923248512,82.5741076751489
"46",2012,"American Airlines Inc.",525220,109752,9569,1777,20.8963862762271,79.1036137237729
"47",2012,"Delta Air Lines Inc.",726879,92829,3713,1260,12.7709013467166,87.2290986532834
"48",2012,"ExpressJet Airlines Inc.",740855,154116,15272,1833,20.802451221899,79.197548778101
"49",2012,"SkyWest Airlines Inc.",617756,101231,11167,1235,16.3868906170074,83.6131093829926
"50",2012,"Southwest Airlines Co.",1140535,180969,9580,1880,15.867027316128,84.132972683872
