"","Position","Direction","EnterDate","EnterPrice","ExitDate","ExitPrice","ProfitLoss","Return"
"1",1,"Short",2019-01-01,52.98,2019-01-02,46.54,6.44,0.12155530388826
"2",2,"Short",2019-01-02,46.54,2019-01-03,47.09,-0.550000000000004,-0.0118177911474002
"3",3,"Short",2019-01-03,47.09,2019-01-04,47.96,-0.869999999999997,-0.0184752601401571
"4",4,"Long",2019-01-04,47.96,2019-01-07,48.52,0.560000000000002,0.0115416323165705
"5",5,"Short",2019-01-07,48.52,2019-01-08,49.78,-1.26,-0.0259686727122836
"6",6,"Short",2019-01-08,49.78,2019-01-09,52.36,-2.58,-0.05182804339092
"7",7,"Short",2019-01-09,52.36,2019-01-10,52.59,-0.230000000000004,-0.00439266615737212
"8",8,"Short",2019-01-10,52.59,2019-01-11,51.59,1,0.0190150218672751
"9",9,"Short",2019-01-11,51.59,2019-01-14,50.51,1.08000000000001,0.0209342895910061
"10",10,"Long",2019-01-15,52.11,2019-01-16,52.31,0.200000000000003,0.00382336073408532
"11",11,"Short",2019-01-17,52.07,2019-01-18,54.04,-1.97,-0.0378336854234684
"12",12,"Short",2019-01-21,53.2,2019-01-22,53.01,0.190000000000005,0.00357142857142866
"13",13,"Short",2019-01-22,53.01,2019-01-23,52.62,0.390000000000001,0.00735710243350312
"14",14,"Long",2019-01-23,52.62,2019-01-24,53.13,0.510000000000005,0.00959909655561839
"15",15,"Short",2019-01-28,51.99,2019-01-29,53.31,-1.32,-0.0253894979803808
"16",16,"Short",2019-01-31,53.79,2019-02-01,55.26,-1.47,-0.0273284997211377
"17",17,"Short",2019-02-05,53.66,2019-02-06,54.01,-0.350000000000001,-0.0065225493850168
"18",18,"Long",2019-02-06,54.01,2019-02-07,52.64,-1.37,-0.0260258358662613
"19",19,"Long",2019-02-11,52.41,2019-02-12,53.1,0.690000000000005,0.012994350282486
"20",20,"Short",2019-02-14,54.41,2019-02-15,55.59,-1.18000000000001,-0.0216871898548062
"21",21,"Short",2019-02-15,55.59,2019-02-19,56.45,-0.859999999999999,-0.015470408346825
"22",22,"Short",2019-02-19,56.45,2019-02-20,57.16,-0.709999999999994,-0.0125775022143489
"23",23,"Short",2019-02-20,57.16,2019-02-21,56.96,0.199999999999996,0.00349895031490545
"24",24,"Short",2019-02-21,56.96,2019-02-22,57.26,-0.299999999999997,-0.00526685393258422
"25",25,"Long",2019-02-26,55.5,2019-02-27,56.94,1.44,0.0252897787144362
"26",26,"Long",2019-02-27,56.94,2019-02-28,57.22,0.280000000000001,0.00489339391821044
"27",27,"Short",2019-02-28,57.22,2019-03-01,55.8,1.42,0.0248164977280671
"28",28,"Short",2019-03-01,55.8,2019-03-04,56.59,-0.790000000000006,-0.0141577060931901
"29",29,"Short",2019-03-14,58.61,2019-03-15,58.52,0.0899999999999963,0.00153557413410674
"30",30,"Short",2019-03-15,58.52,2019-03-18,59.38,-0.859999999999999,-0.0146958304853042
"31",31,"Long",2019-03-26,59.94,2019-03-27,59.41,-0.530000000000001,-0.00892105706110084
"32",32,"Short",2019-04-02,62.58,2019-04-03,62.46,0.119999999999997,0.00191754554170657
