nymex_date,cl_open,cl_high,cl_low,cl_close,cl_volume,sc_open,sc_high,sc_low,sc_close,sc_volume,rb_open,rb_high,rb_low,rb_close,rb_volume,ho_open,ho_high,ho_low,ho_close,ho_volume,hp_open,hp_high,hp_low,hp_close,hp_volume,mt_open,mt_high,mt_low,mt_close,mt_volume,ng_open,ng_high,ng_low,ng_close,ng_volume,qa_open,qa_high,qa_low,qa_close,qa_volume,qg_open,qg_high,qg_low,qg_close,qg_volume,ve_open,ve_high,ve_low,ve_close,ve_volume,DSEN                            ,DSOG                            ,DSOI                            ,DSOL                            ,DSOQ                            ,OILBR                           ,OILSW                           ,OIV                             ,OSX                             ,OVX                             ,SG3I                            ,SG4A                            ,SG5I                            ,SPX                             ,SS1J                            ,UOI                             ,PET_WCRSTUS1_W,PET_WCESTUS1_W,PET_WCSSTUS1_W,PET_WGTSTUS1_W,PET_WGRSTUS1_W,PET_WG4ST_NUS_1_W,PET_WBCSTUS1_W,PET_WDISTUS1_W,PET_WD0ST_NUS_1_W,PET_WD1ST_NUS_1_W,PET_WDGSTUS1_W,PET_WRESTUS1_W,PET_EER_EPD2F_PF4_Y35NY_DPG_W,PET_EER_EPMRR_PF4_Y05LA_DPG_W,PET_RWTC_W,PET_RBRTE_W,PET_WCRRIUS2_W,PET_WOCLEUS2_W,PET_WPULEUS3_W
2014-01-02,98.5,98.97,95.34,95.44,251248.0,110.27,110.27,107.4,107.4,122.0,2.788,2.7975,2.6923,2.695,45070.0,3.07,3.0714,2.984,2.9867,65568.0,4.23,4.321,4.23,4.321,851.0,98.82,98.82,96.49,96.49,0.0,4.232,4.331,4.213,4.321,105298.0,110.82,111.0,107.5,107.6,8397.0,4.25,4.335,4.215,4.32,1321.0,18.82,20.89,18.82,20.85,0.0,742.12,745.76,670.39,672.66,742.61,110.93,95.49,20.85,276.36,20.23,523.07,1330.24,362.73,1831.98,2880.36,34.19,1026664.0,330695.0,695969.0,220716.0,40.0,40022.0,180654.0,119147.0,97306.0,3968.0,17873.0,37016.0,3.091,2.819,99.15,111.72,16247.0,17818.0,92.4
2014-01-03,95.47,95.74,93.86,93.96,251248.0,107.78,107.78,106.89,106.89,16.0,2.7007,2.7134,2.6462,2.695,45556.0,2.9945,3.0097,2.9361,2.9394,71232.0,4.3,4.3,4.28,4.28,704.0,96.74,96.74,96.74,96.74,0.0,4.298,4.39,4.206,4.304,141973.0,107.72,108.26,106.44,106.54,8397.0,4.295,4.385,4.2,4.305,1593.0,20.27,21.17,19.78,20.61,0.0,740.19,743.56,669.44,671.66,741.54,109.44,93.96,20.61,276.62,20.6,514.96,1309.61,356.98,1831.37,2869.37,33.76,1022706.0,326737.0,695969.0,226959.0,42.0,42525.0,184392.0,124973.0,102464.0,3335.0,19174.0,37650.0,3.035,2.79,96.47,108.73,16134.0,17818.0,92.3
2014-01-06,94.18,94.59,93.2,93.43,215522.0,106.89,106.89,106.73,106.73,16.0,2.6504,2.674,2.6425,2.646,49807.0,2.9446,2.9825,2.9348,2.9388,71232.0,4.174,4.184,4.174,4.184,541.0,96.49,96.49,95.75,95.75,0.0,4.313,4.379,4.266,4.306,141973.0,106.8,107.58,106.27,106.42,8242.0,4.32,4.38,4.27,4.305,1593.0,20.83,21.47,20.82,21.21,0.0,739.87,743.61,667.89,671.79,740.71,107.66,93.46,21.21,275.17,20.7,512.06,1302.23,356.91,1826.77,2868.24,33.54,1022706.0,326737.0,695969.0,226959.0,42.0,42525.0,184392.0,124973.0,102464.0,3335.0,19174.0,37650.0,3.035,2.79,96.47,108.73,16134.0,17818.0,92.3
2014-01-07,93.6,94.22,93.35,93.67,189379.0,106.17,106.72,106.17,106.72,112.0,2.66,2.6892,2.6559,2.6786,55907.0,2.9512,2.969,2.9475,2.9593,68648.0,4.184,4.184,4.155,4.155,541.0,95.75,95.99,95.75,95.99,0.0,4.308,4.43,4.262,4.299,159424.0,106.16,106.23,105.74,106.11,8244.0,4.31,4.43,4.265,4.3,1435.0,20.82,21.06,19.77,19.86,0.0,746.29,752.17,666.67,680.36,740.8,107.4,93.67,19.86,275.49,19.67,513.37,1305.58,359.4,1837.88,2886.52,33.65,1022706.0,326737.0,695969.0,226959.0,42.0,42525.0,184392.0,124973.0,102464.0,3335.0,19174.0,37650.0,3.035,2.79,96.47,108.73,16134.0,17818.0,92.3
2014-01-08,93.96,94.18,92.26,92.33,244855.0,106.72,106.72,106.41,106.41,198.0,2.673,2.683,2.6533,2.6563,55907.0,2.9576,2.9719,2.9445,2.9494,54481.0,4.055,4.055,3.976,3.977,475.0,95.99,95.99,94.65,94.65,0.0,4.327,4.365,4.18,4.216,159424.0,106.89,107.18,106.32,106.41,8848.0,4.335,4.365,4.18,4.215,1507.0,19.79,23.12,18.09,20.11,0.0,741.44,747.65,661.07,675.8,734.97,107.27,92.32,20.11,274.39,20.17,506.25,1286.91,357.78,1837.49,2867.58,33.12,1022706.0,326737.0,695969.0,226959.0,42.0,42525.0,184392.0,124973.0,102464.0,3335.0,19174.0,37650.0,3.035,2.79,96.47,108.73,16134.0,17818.0,92.3
2014-01-09,92.58,92.93,91.24,91.66,255784.0,106.71,106.71,105.96,105.96,648.0,2.6685,2.6859,2.6317,2.6426,53498.0,2.9573,2.9681,2.9055,2.9214,60586.0,4.216,4.216,4.005,4.005,1360.0,94.65,94.65,93.98,93.98,0.0,4.187,4.194,3.999,4.005,193822.0,106.88,107.34,105.51,105.7,8848.0,4.19,4.19,4.0,4.005,1816.0,19.64,20.3,19.25,20.05,0.0,738.71,744.57,659.13,672.03,733.15,107.58,91.68,20.05,274.01,19.51,502.86,1277.66,354.02,1838.13,2858.54,33.04,1022706.0,326737.0,695969.0,226959.0,42.0,42525.0,184392.0,124973.0,102464.0,3335.0,19174.0,37650.0,3.035,2.79,96.47,108.73,16134.0,17818.0,92.3
2014-01-10,92.3,93.38,91.99,92.72,255988.0,105.96,106.61,105.96,106.61,648.0,2.6445,2.681,2.6329,2.6691,48853.0,2.9211,2.9505,2.9057,2.9407,64067.0,4.005,4.053,4.005,4.053,1360.0,93.98,95.04,93.98,95.04,0.0,4.029,4.099,3.953,4.053,193822.0,105.55,105.89,104.7,105.68,9086.0,4.02,4.1,3.955,4.055,1816.0,19.14,19.55,18.84,19.14,0.0,740.32,743.81,668.07,670.96,741.95,107.53,92.66,19.14,277.47,19.47,505.3,1292.23,354.47,1842.37,2870.77,33.24,1015048.0,319079.0,695969.0,233142.0,38.0,41225.0,191880.0,123950.0,102639.0,3012.0,18300.0,37770.0,2.966,2.632,92.42,107.01,15731.0,17818.0,90.0
2014-01-13,92.83,92.88,91.43,91.8,255988.0,106.61,106.61,105.97,105.97,0.0,2.679,2.68,2.6228,2.6341,53530.0,2.9425,2.9527,2.926,2.9333,64067.0,4.053,4.274,4.053,4.274,838.0,95.04,95.04,94.12,94.12,0.0,4.12,4.313,4.118,4.274,177315.0,105.85,105.91,105.16,105.27,9504.0,4.11,4.315,4.105,4.275,1891.0,21.45,21.47,20.37,20.84,0.0,725.93,728.33,657.3,657.74,730.57,106.84,91.78,20.84,272.15,19.75,504.04,1279.45,354.24,1819.2,2808.64,32.86,1015048.0,319079.0,695969.0,233142.0,38.0,41225.0,191880.0,123950.0,102639.0,3012.0,18300.0,37770.0,2.966,2.632,92.42,107.01,15731.0,17818.0,90.0
2014-01-14,91.51,92.88,91.5,92.59,243474.0,106.75,106.75,106.39,106.39,250.0,2.6265,2.6386,2.5987,2.6224,53530.0,2.927,2.9462,2.9177,2.9363,56858.0,4.274,4.369,4.274,4.369,992.0,94.12,95.9,94.12,95.9,0.0,4.308,4.382,4.287,4.369,177315.0,105.16,105.53,104.64,104.97,10908.0,4.31,4.38,4.285,4.37,1891.0,20.45,20.92,20.3,20.65,0.0,734.6,736.7,667.33,661.15,740.18,106.99,92.52,20.65,276.13,19.8,508.49,1290.22,353.39,1838.88,2849.58,33.09,1015048.0,319079.0,695969.0,233142.0,38.0,41225.0,191880.0,123950.0,102639.0,3012.0,18300.0,37770.0,2.966,2.632,92.42,107.01,15731.0,17818.0,90.0
2014-01-15,92.65,94.64,92.43,94.17,263295.0,106.39,107.13,106.39,107.13,250.0,2.6145,2.641,2.6032,2.6264,46256.0,2.9385,2.9964,2.933,2.9796,74213.0,4.369,4.369,4.325,4.325,2795.0,95.9,98.32,95.9,98.32,0.0,4.353,4.432,4.318,4.325,158284.0,105.09,106.37,104.78,105.95,14224.0,4.35,4.43,4.32,4.325,1621.0,20.1,27.44,19.26,19.51,0.0,732.34,733.83,666.77,658.15,739.58,106.67,94.16,19.51,275.18,18.7,517.1,1312.06,357.2,1848.38,2844.92,33.71,1015048.0,319079.0,695969.0,233142.0,38.0,41225.0,191880.0,123950.0,102639.0,3012.0,18300.0,37770.0,2.966,2.632,92.42,107.01,15731.0,17818.0,90.0
