"","exit","open.x","high.x","low.x","close.x","volume.x","spotPrice.x","return.x","logReturn.x","Date.x","pred.x","index","side.x","open.y","high.y","low.y","close.y","volume.y","spotPrice.y","return.y","logReturn.y","Date.y","pred.y","exit.y","side.y"
"1",104,1.89,1.93,1.88,1.91,95171,1.91,0.0100475938656794,0.00999745238221797,2019-05-24,0.0203538085589274,101,"buy",1.92,1.93,1.85,1.85,78519,1.85,-0.0364583333333333,-0.0371395469494567,2019-05-30,-0.00765141278047438,0,"sell"
"2",105,1.92,1.96,1.91,1.94,95056,1.94,0.0157068062827226,0.0155847310166983,2019-05-28,0.0197632988493595,102,"buy",1.8529,1.8557,1.7577,1.7714,85405,1.7714,-0.0424864864864865,-0.0434154446968878,2019-05-31,0.0104358193193971,0,"sell"
"3",109,1.7607,1.7867,1.7288,1.7413,85405,1.7413,-0.0169922095517669,-0.0171382336901456,2019-06-03,0.0345904114692506,106,"buy",1.6938,1.7291,1.6688,1.7076,78064,1.7076,0.00874291115311898,0.00870491321982664,2019-06-06,0.0078167002730138,0,"sell"
"4",110,1.7344,1.7447,1.6921,1.7242,97892,1.7242,-0.00982024923907432,-0.00986878590951244,2019-06-04,0.036257915859447,107,"buy",1.724,1.7435,1.7018,1.7389,74675,1.7389,0.0183298196298898,0.0181638535042161,2019-06-07,0.00149859798773102,0,"sell"
"5",111,1.703,1.7195,1.6625,1.6928,97892,1.6928,-0.0182113443916019,-0.0183792121118444,2019-06-05,0.0187848624075004,108,"buy",1.74,1.7591,1.7214,1.7303,74675,1.7303,-0.00494565529932711,-0.00495792552542045,2019-06-10,-0.00568914672944873,0,"sell"
"6",117,1.6784,1.735,1.675,1.7199,81800,1.7199,0.0200462606013878,0.0198479797985118,2019-06-13,0.0152872103434659,114,"buy",1.6771,1.7153,1.6451,1.7,57495,1.7,0.00544121126094144,0.00542646135167248,2019-06-18,-0.00508327344698997,0,"sell"
"7",123,1.7649,1.8266,1.7493,1.8161,146042,1.8161,0.0318750000000001,0.0313775356922555,2019-06-21,-0.0181814970545321,120,"sell",1.874,1.9433,1.8677,1.931,126154,1.931,0.0474072466912563,0.0463178215821613,2019-06-26,-0.00237782961871908,0,"buy"
"8",124,1.82,1.86,1.8,1.82,146042,1.82,0.00214745884037226,0.0021451563463882,2019-06-24,-0.0176182326622822,121,"sell",1.92,1.92,1.89,1.91,126154,1.91,-0.0108751941998965,-0.0109347613878389,2019-06-27,-0.00568029557860163,0,"buy"
"9",125,1.8217,1.8719,1.8054,1.8436,92833,1.8436,0.0129670329670328,0.012883680775512,2019-06-25,-0.0166020456598191,122,"sell",1.9121,1.9217,1.8754,1.8966,75546,1.8966,-0.00701570680628261,-0.0070404325910484,2019-06-28,-0.00843296028064858,0,"buy"
"10",141,1.8829,1.8949,1.8208,1.8342,59892,1.8342,-0.0236865917921967,-0.0239716291484094,2019-07-18,0.0173427544643314,138,"buy",1.79,1.82,1.78,1.81,64734,1.81,0.011173184357542,0.0111112254250708,2019-07-23,0.000722193356721412,0,"sell"
"11",142,1.801,1.8182,1.7782,1.7952,64942,1.7952,-0.0212626758259733,-0.0214919827964668,2019-07-19,0.0222628060968381,139,"buy",1.8191,1.8385,1.789,1.8043,84245,1.8043,-0.00314917127071823,-0.00315414034561871,2019-07-24,-0.0114501908403234,0,"sell"
"12",152,1.755,1.8007,1.755,1.7815,90771,1.7815,0.018058174752843,0.0178970626181891,2019-08-02,0.0155705519205722,149,"buy",1.6809,1.6876,1.6111,1.6203,90678,1.6203,-0.0397084098856161,-0.0405183009373367,2019-08-07,0.0094106354993161,0,"sell"
"13",153,1.768,1.7718,1.7131,1.718,85274,1.718,-0.0356441201234915,-0.0362948825016901,2019-08-05,0.0198174729064593,150,"buy",1.644,1.6579,1.6359,1.6457,90678,1.6457,0.0156761093624636,0.0155545083343818,2019-08-08,0.0300315143764334,0,"sell"
"14",154,1.7202,1.7338,1.6726,1.6873,81973,1.6873,-0.0178696158323632,-0.0180312053399089,2019-08-06,0.0266034365874342,151,"buy",1.6505,1.6895,1.6417,1.674,69070,1.674,0.0171963298292519,0.0170501464480834,2019-08-09,0.0160589960483021,0,"sell"
"15",156,1.644,1.6579,1.6359,1.6457,90678,1.6457,0.0156761093624636,0.0155545083343818,2019-08-08,0.0300315143764334,153,"buy",1.6636,1.7456,1.6522,1.7364,71995,1.7364,0.0427576267115062,0.0418687681046182,2019-08-13,-0.014278635789718,0,"sell"
"16",157,1.6505,1.6895,1.6417,1.674,69070,1.674,0.0171963298292519,0.0170501464480834,2019-08-09,0.0160589960483021,154,"buy",1.7245,1.7284,1.6507,1.6758,73080,1.6758,-0.0348997926744989,-0.0355233412462524,2019-08-14,-0.0200876607597547,0,"sell"
"17",160,1.7245,1.7284,1.6507,1.6758,73080,1.6758,-0.0348997926744989,-0.0355233412462524,2019-08-14,-0.0200876607597547,157,"sell",1.658,1.68,1.6525,1.6644,55303,1.6644,0.00458715596330284,0.00457666702741189,2019-08-19,0.0165405765586804,0,"buy"
