"","Date","spotPrice","side"
"1",2019-01-02,61.97,"buy"
"2",2019-01-03,62.34,"buy"
"3",2019-01-04,62.37,"buy"
"4",2019-01-07,62.34,"buy"
"5",2019-01-08,63.53,"sell"
"6",2019-01-09,64.69,"sell"
"7",2019-01-10,64.44,"buy"
"8",2019-01-10,64.44,"sell"
"9",2019-01-11,63.7,"sell"
"10",2019-01-16,63.71,"sell"
"11",2019-03-20,68.27,"buy"
"12",2019-03-21,67.67,"buy"
"13",2019-03-22,66.75,"buy"
"14",2019-03-26,67.43,"sell"
"15",2019-03-27,67.24,"sell"
"16",2019-03-28,67.1,"sell"
"17",2019-05-24,67.47,"sell"
"18",2019-05-31,61.99,"buy"
"19",2019-06-03,60.46,"sell"
"20",2019-06-04,61.08,"sell"
"21",2019-06-05,59.53,"sell"
"22",2019-06-06,60.52,"sell"
"23",2019-06-07,62.18,"buy"
"24",2019-06-10,61.34,"buy"
"25",2019-06-11,61.45,"buy"
"26",2019-06-12,59.19,"buy"
"27",2019-08-02,61.32,"sell"
"28",2019-08-08,57.04,"sell"
"29",2019-08-08,57.04,"buy"
"30",2019-08-14,59.07,"buy"
"31",2019-09-17,63.56,"buy"
"32",2019-09-23,63.73,"sell"
